covariate_analysis_id,covariate_analysis_name,analysis_id
3,DemographicsAgeGroup,1
1,DemographicsGender,1
210,ConditionGroupEraLongTerm,1
3,DemographicsAgeGroup,2
1,DemographicsGender,2
210,ConditionGroupEraLongTerm,2
3,DemographicsAgeGroup,3
1,DemographicsGender,3
210,ConditionGroupEraLongTerm,3
3,DemographicsAgeGroup,4
1,DemographicsGender,4
210,ConditionGroupEraLongTerm,4
3,DemographicsAgeGroup,5
1,DemographicsGender,5
210,ConditionGroupEraLongTerm,5
3,DemographicsAgeGroup,6
1,DemographicsGender,6
210,ConditionGroupEraLongTerm,6
3,DemographicsAgeGroup,7
1,DemographicsGender,7
210,ConditionGroupEraLongTerm,7
3,DemographicsAgeGroup,8
1,DemographicsGender,8
210,ConditionGroupEraLongTerm,8
3,DemographicsAgeGroup,9
1,DemographicsGender,9
210,ConditionGroupEraLongTerm,9
3,DemographicsAgeGroup,10
1,DemographicsGender,10
210,ConditionGroupEraLongTerm,10
