"time","target_survival","target_survival_lb","target_survival_ub","comparator_survival","comparator_survival_lb","comparator_survival_ub","target_at_risk","comparator_at_risk","target_id","comparator_id","outcome_id","analysis_id","database_id"
0,1,1,1,1,1,1,132,132,3606,3610,2580,1,"CDMPv535_ABMI"
1,1,1,1,0.9924,0.9777,1,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
2,0.9924,0.9777,1,0.9924,0.9777,1,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
3,0.9848,0.9642,1,0.9848,0.9642,1,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
7,0.9848,0.9642,1,0.9773,0.9522,1,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
14,0.9773,0.9522,1,0.9773,0.9522,1,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
18,0.9773,0.9522,1,0.9696,0.9408,0.9994,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
22,0.9697,0.9409,0.9994,0.9696,0.9408,0.9994,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
30,0.9621,0.9301,0.9952,0.9696,0.9408,0.9994,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
36,0.9621,0.9301,0.9952,0.9542,0.9191,0.9907,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
49,0.9545,0.9197,0.9907,0.9466,0.9088,0.9859,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
55,0.947,0.9095,0.986,0.9466,0.9088,0.9859,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
62,0.9394,0.8996,0.981,0.9466,0.9088,0.9859,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
63,0.9242,0.8802,0.9705,0.9466,0.9088,0.9859,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
70,0.9242,0.8802,0.9705,0.9388,0.8986,0.9808,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
82,0.9242,0.8802,0.9705,0.931,0.8885,0.9756,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
86,0.9242,0.8802,0.9705,0.9233,0.8787,0.9701,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
97,0.9242,0.8802,0.9705,0.9155,0.869,0.9646,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
100,0.9242,0.8802,0.9705,0.9155,0.869,0.9646,122,118,3606,3610,2580,1,"CDMPv535_ABMI"
115,0.9167,0.8707,0.965,0.9155,0.869,0.9646,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
125,0.9091,0.8613,0.9595,0.9155,0.869,0.9646,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
164,0.9015,0.8521,0.9538,0.9155,0.869,0.9646,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
193,0.9015,0.8521,0.9538,0.9077,0.8593,0.9589,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
200,0.9015,0.8521,0.9538,0.9077,0.8593,0.9589,117,116,3606,3610,2580,1,"CDMPv535_ABMI"
204,0.8938,0.8427,0.948,0.9077,0.8593,0.9589,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
220,0.8861,0.8335,0.9421,0.9077,0.8593,0.9589,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
247,0.8861,0.8335,0.9421,0.8997,0.8495,0.953,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
250,0.8784,0.8243,0.9361,0.8997,0.8495,0.953,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
253,0.8784,0.8243,0.9361,0.8918,0.8398,0.947,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
300,0.8784,0.8243,0.9361,0.8918,0.8398,0.947,113,111,3606,3610,2580,1,"CDMPv535_ABMI"
305,0.8706,0.815,0.9299,0.8918,0.8398,0.947,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
310,0.8706,0.815,0.9299,0.8836,0.8299,0.9408,NA,NA,3606,3610,2580,1,"CDMPv535_ABMI"
