targetId,comparatorId,outcomeId,outcomeName,type
3606,3610,434165,Abnormal cervical smear,outcome
3606,3610,436409,Abnormal pupil,outcome
3606,3610,199192,Abrasion and/or friction burn of trunk without infection,outcome
3606,3610,4088290,Absence of breast,outcome
3606,3610,4092879,Absent kidney,outcome
3606,3610,436634,Acariasis,outcome
3606,3610,44783954,Acid reflux,outcome
3606,3610,75911,Acquired hallux valgus,outcome
3606,3610,137951,Acquired keratoderma,outcome
3606,3610,77965,Acquired trigger finger,outcome
3606,3610,376707,Acute conjunctivitis,outcome
3606,3610,4103640,Amputated foot,outcome
3606,3610,432595,Amyloidosis,outcome
3606,3610,73241,Anal and rectal polyp,outcome
3606,3610,437082,Ankylosing spondylitis,outcome
3606,3610,77650,Aseptic necrosis of bone,outcome
3606,3610,378424,Astigmatism,outcome
3606,3610,374923,Bell's palsy,outcome
3606,3610,4110709,Benign epithelial neoplasm of skin,outcome
3606,3610,133655,Burn of forearm,outcome
3606,3610,73560,Calcaneal spur,outcome
3606,3610,434327,Cannabis abuse,outcome
3606,3610,4213540,Cervical somatic dysfunction,outcome
3606,3610,381581,Chalazion,outcome
3606,3610,140842,Changes in skin texture,outcome
3606,3610,438531,Chondromalacia,outcome
3606,3610,81378,Chondromalacia of patella,outcome
3606,3610,432303,Cocaine abuse,outcome
3606,3610,4201390,Colostomy present,outcome
3606,3610,46269889,Complication due to Crohn's disease,outcome
3606,3610,134438,Contact dermatitis,outcome
3606,3610,78619,Contusion of knee,outcome
3606,3610,201606,Crohn's disease,outcome
3606,3610,260134,Croup,outcome
3606,3610,76786,Derangement of knee,outcome
3606,3610,4115402,Difficulty sleeping,outcome
3606,3610,443767,Disorder of eye due to diabetes mellitus,outcome
3606,3610,45757370,Disproportion of reconstructed breast,outcome
3606,3610,433111,Effects of hunger,outcome
3606,3610,441589,Endocarditis,outcome
3606,3610,200775,Endometrial hyperplasia,outcome
3606,3610,433527,Endometriosis,outcome
3606,3610,73008,Enthesopathy,outcome
3606,3610,4249170,Epicondylitis,outcome
3606,3610,4170770,Epidermoid cyst,outcome
3606,3610,4345472,Epstein-Barr virus disease,outcome
