"database_id","exposure_id","target_id","comparator_id","outcome_id","analysis_id","sequence_number","description","subjects"
"CDMPv535_ABMI",3606,3606,3610,4018,1,1,"Original cohorts",134
"CDMPv535_ABMI",3606,3606,3610,4018,1,2,"Have at least 1 days at risk",134
"CDMPv535_ABMI",3606,3606,3610,4018,1,3,"Matched on propensity score",132
"CDMPv535_ABMI",3610,3606,3610,4018,1,1,"Original cohorts",1840
"CDMPv535_ABMI",3610,3606,3610,4018,1,2,"Have at least 1 days at risk",1840
"CDMPv535_ABMI",3610,3606,3610,4018,1,3,"Matched on propensity score",132
"CDMPv535_ABMI",3606,3606,3610,4019,1,1,"Original cohorts",134
"CDMPv535_ABMI",3606,3606,3610,4019,1,2,"Have at least 1 days at risk",134
"CDMPv535_ABMI",3606,3606,3610,4019,1,3,"Matched on propensity score",132
"CDMPv535_ABMI",3610,3606,3610,4019,1,1,"Original cohorts",1840
"CDMPv535_ABMI",3610,3606,3610,4019,1,2,"Have at least 1 days at risk",1840
"CDMPv535_ABMI",3610,3606,3610,4019,1,3,"Matched on propensity score",132
"CDMPv535_ABMI",3606,3606,3610,4018,2,1,"Original cohorts",134
"CDMPv535_ABMI",3606,3606,3610,4018,2,2,"Have at least 1 days at risk",134
"CDMPv535_ABMI",3606,3606,3610,4018,2,3,"Matched on propensity score",132
"CDMPv535_ABMI",3610,3606,3610,4018,2,1,"Original cohorts",1840
"CDMPv535_ABMI",3610,3606,3610,4018,2,2,"Have at least 1 days at risk",1840
"CDMPv535_ABMI",3610,3606,3610,4018,2,3,"Matched on propensity score",132
"CDMPv535_ABMI",3606,3606,3610,4019,2,1,"Original cohorts",134
"CDMPv535_ABMI",3606,3606,3610,4019,2,2,"Have at least 1 days at risk",134
"CDMPv535_ABMI",3606,3606,3610,4019,2,3,"Matched on propensity score",132
"CDMPv535_ABMI",3610,3606,3610,4019,2,1,"Original cohorts",1840
"CDMPv535_ABMI",3610,3606,3610,4019,2,2,"Have at least 1 days at risk",1840
"CDMPv535_ABMI",3610,3606,3610,4019,2,3,"Matched on propensity score",132
"CDMPv535_ABMI",3606,3606,3610,4018,3,1,"Original cohorts",134
"CDMPv535_ABMI",3606,3606,3610,4018,3,2,"Have at least 1 days at risk",134
"CDMPv535_ABMI",3606,3606,3610,4018,3,3,"Matched on propensity score",132
"CDMPv535_ABMI",3610,3606,3610,4018,3,1,"Original cohorts",1840
