target_id,comparator_id,outcome_id,analysis_id,target_min_days,target_p10_days,target_p25_days,target_median_days,target_p75_days,target_p90_days,target_max_days,comparator_min_days,comparator_p10_days,comparator_p25_days,comparator_median_days,comparator_p75_days,comparator_p90_days,comparator_max_days,database_id
3606,3610,4018,1,1,7.200000000000003,35,108,365,365,365,1,24.1,69.5,245,365,365,365,CDMPv535_ABMI
3606,3610,4019,1,1,10.300000000000004,43.5,151.5,365,365,365,1,28.500000000000007,86,294.5,365,365,365,CDMPv535_ABMI
3606,3610,4018,2,1,7.200000000000003,35,108,423.8499999999998,536.9000000000001,730,1,24.1,69.5,245,730,730,730,CDMPv535_ABMI
3606,3610,4019,2,1,10.300000000000004,43.5,151.5,464.09999999999997,574.0000000000002,730,1,28.500000000000007,86,294.5,730,730,730,CDMPv535_ABMI
3606,3610,4018,3,1,7.200000000000003,35,108,423.8499999999998,536.9000000000001,1095,1,24.1,69.5,245,912.4999999999999,1095,1095,CDMPv535_ABMI
3606,3610,4019,3,1,10.300000000000004,43.5,151.5,464.09999999999997,574.0000000000002,1095,1,28.500000000000007,86,294.5,1095,1095,1095,CDMPv535_ABMI
3606,3610,4018,4,1,7.200000000000003,35,108,180,180,180,1,24.1,69.5,180,180,180,180,CDMPv535_ABMI
3606,3610,4019,4,1,10.300000000000004,43.5,151.5,180,180,180,1,28.500000000000007,86,180,180,180,180,CDMPv535_ABMI
3606,3610,4018,5,1,7.200000000000003,35,90,90,90,90,1,24.1,69.5,90,90,90,90,CDMPv535_ABMI
3606,3610,4019,5,1,10.300000000000004,43.5,90,90,90,90,1,28.500000000000007,86,90,90,90,90,CDMPv535_ABMI
3606,3610,4018,6,1,6.600000000000001,28,56,168.69999999999996,221.60000000000002,483,1,2,6,25,39.39999999999998,56,113,CDMPv535_ABMI
3606,3610,4019,6,1,9.600000000000001,31.5,63,177.39999999999986,221.60000000000002,483,1,2,6,26,55.099999999999994,56,133,CDMPv535_ABMI
3606,3610,4018,7,1,7.200000000000003,35,108,423.8499999999998,536.9000000000001,2388,1,24.1,69.5,245,912.4999999999999,1425.300000000001,6741,CDMPv535_ABMI
3606,3610,4019,7,1,10.300000000000004,43.5,151.5,464.09999999999997,574.0000000000002,2388,1,28.500000000000007,86,294.5,1335.2999999999995,1932.6000000000008,6741,CDMPv535_ABMI
3606,3610,4018,8,1,6.600000000000001,28,56,168.69999999999996,221.60000000000002,483,1,2,6,25,42,56,167,CDMPv535_ABMI
3606,3610,4019,8,1,9.600000000000001,31.5,63,177.39999999999986,221.60000000000002,483,1,2,7,26,50,56,343,CDMPv535_ABMI
3606,3610,4018,9,1,6.600000000000001,28,56,168.69999999999996,221.60000000000002,483,1,2,7,26,49.25,56,193,CDMPv535_ABMI
3606,3610,4019,9,1,9.600000000000001,31.5,63,177.39999999999986,221.60000000000002,483,1,2,7,28,56,56.5,343,CDMPv535_ABMI
3606,3610,4018,10,1,7,28,62,162,220,483,1,2,4,21,49,56,193,CDMPv535_ABMI
3606,3610,4019,10,1,10,32,63,168,220,483,1,2,4,21,55,58,343,CDMPv535_ABMI
