"time","target_survival","target_survival_lb","target_survival_ub","comparator_survival","comparator_survival_lb","comparator_survival_ub","target_at_risk","comparator_at_risk","target_id","comparator_id","outcome_id","analysis_id","database_id"
0,1,1,1,1,1,1,132,132,3606,3610,4018,1,"CDMPv535_ABMI"
1,0.9545,0.9197,0.9907,0.9545,0.9197,0.9907,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
2,0.9394,0.8996,0.981,0.947,0.9095,0.986,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
3,0.9242,0.8802,0.9705,0.947,0.9095,0.986,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
5,0.9167,0.8707,0.965,0.9318,0.8898,0.9758,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
6,0.9091,0.8613,0.9595,0.9318,0.8898,0.9758,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
7,0.8939,0.8429,0.948,0.9242,0.8802,0.9705,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
9,0.8864,0.8338,0.9422,0.9242,0.8802,0.9705,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
10,0.8712,0.8159,0.9303,0.9242,0.8802,0.9705,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
13,0.8636,0.807,0.9242,0.9242,0.8802,0.9705,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
14,0.8333,0.7721,0.8994,0.9242,0.8802,0.9705,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
18,0.8333,0.7721,0.8994,0.9167,0.8707,0.965,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
19,0.8333,0.7721,0.8994,0.9091,0.8613,0.9595,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
22,0.8333,0.7721,0.8994,0.9015,0.8521,0.9538,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
23,0.8258,0.7635,0.8931,0.9015,0.8521,0.9538,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
24,0.8258,0.7635,0.8931,0.8939,0.8429,0.948,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
25,0.8182,0.755,0.8867,0.8864,0.8338,0.9422,NA,NA,3606,3610,4018,1,"CDMPv535_ABMI"
